Autonomie_batterie,Nb_coeurs,Marque,Ville_vente,Reconditionne,Garantie_disponible,Frequence_CPU,Nb_appareils_photo,Reconnaissance_faciale,Gamme,Etat_esthetique,Score_performance,Charge_rapide,Double_SIM,Stockage_interne,Prix
60.0,7,Samsung Galaxy,Casablanca,0.0,0,1037.87,3,1.0,Supérieure,75,85.9,1,0,256,8705.05
53.0,9,Samsung Galaxy,Marrakech,1.0,1,954.25,4,1.0,Supérieure,1,94.7,0,0,128,7692.09
59.0,6,Oppo,Agadir,0.0,0,1324.79,0,1.0,Moyenne,11,54.06,1,0,256,4188.81
41.0,8,iPhone,Agadir,1.0,1,795.89,2,1.0,Premium,54,55.63,0,1,128,11784.01
55.0,9,iPhone,Casablanca,1.0,0,1089.79,1,1.0,Premium,50,68.49,1,0,512,10230.59
61.0,2,Xiaomi Redmi,Marrakech,1.0,1,906.58,1,0.0,Moyenne,32,86.27,1,1,128,6938.27
58.0,1,Xiaomi Redmi,Agadir,0.0,1,1073.18,2,0.0,Moyenne,86,76.4,0,0,1000,6891.51
38.0,7,iPhone,Casablanca,0.0,0,627.32,3,1.0,Premium,38,71.01,1,0,128,10185.86
52.0,1,Oppo,Marrakech,0.0,0,1285.05,0,0.0,Moyenne,67,57.33,0,0,512,4934.79
55.0,8,iPhone,Marrakech,1.0,1,1350.38,1,0.0,Premium,88,64.52,1,0,1000,10102.56
46.0,7,Honor,Agadir,0.0,0,1054.34,0,1.0,Entrée,21,72.35,1,0,128,3434.94
52.0,1,Samsung Galaxy,Casablanca,0.0,0,1173.16,0,0.0,Supérieure,64,68.85,0,1,512,7356.49
61.0,7,iPhone,Casablanca,0.0,1,999.6,2,1.0,Premium,70,70.87,1,0,1000,10068.85
38.0,9,Honor,Rabat,1.0,1,1157.08,2,0.0,Entrée,57,99.54,1,1,256,3604.87
57.0,3,Honor,Marrakech,1.0,0,915.17,4,1.0,Moyenne,97,85.73,1,1,128,4079.64
57.0,6,Samsung Galaxy,Casablanca,1.0,1,937.87,4,1.0,Supérieure,49,64.69,0,0,128,8022.52
55.0,2,iPhone,Agadir,1.0,0,759.89,2,0.0,Premium,47,71.62,0,1,128,10166.01
55.0,8,iPhone,Casablanca,0.0,0,1008.42,4,1.0,Supérieure,9,91.23,0,1,512,9226.95
56.0,3,Samsung Galaxy,Agadir,1.0,1,1058.33,0,0.0,Supérieure,74,66.69,0,1,1000,8404.39
58.0,1,Oppo,Agadir,1.0,0,859.75,3,1.0,Moyenne,13,90.09,0,0,1000,4977.59
48.0,2,iPhone,Marrakech,1.0,1,1121.76,0,0.0,Supérieure,79,95.66,1,1,256,9109.96
52.0,4,Xiaomi Redmi,Agadir,1.0,1,1311.7,1,0.0,Moyenne,7,63.39,0,1,128,6554.43
48.0,1,Xiaomi Redmi,Agadir,0.0,0,1333.19,4,0.0,Moyenne,72,91.47,0,1,1000,6872.02
42.0,4,Xiaomi Redmi,Rabat,1.0,1,1125.42,3,0.0,Moyenne,83,79.59,0,0,1000,6541.38
64.0,5,Honor,Casablanca,0.0,1,824.75,3,0.0,Moyenne,81,60.05,1,0,512,4087.12
46.0,5,Honor,Casablanca,0.0,0,890.37,1,1.0,Entrée,43,103.07,1,1,512,3958.89
42.0,8,iPhone,Agadir,1.0,0,1332.18,4,1.0,Supérieure,21,51.7,1,1,512,9353.22
53.0,2,Xiaomi Redmi,Casablanca,1.0,1,902.47,4,1.0,Moyenne,43,51.46,0,1,512,6174.16
77.0,3,Honor,Rabat,0.0,1,1059.27,0,1.0,Entrée,89,67.22,0,0,1000,2584.54
42.0,9,Xiaomi Redmi,Rabat,1.0,0,1300.06,3,0.0,Moyenne,34,70.37,0,0,1000,6831.06
37.0,9,Oppo,Rabat,1.0,1,1368.24,1,1.0,Entrée,49,63.68,0,1,128,3544.95
55.0,9,Oppo,Agadir,1.0,0,1258.95,4,0.0,Entrée,34,68.81,0,0,512,3028.17
28.0,4,iPhone,Rabat,0.0,0,949.17,2,1.0,Premium,38,45.21,1,0,256,10613.56
59.0,5,Oppo,Marrakech,1.0,1,916.61,4,1.0,Moyenne,58,70.04,0,1,1000,4431.1
38.0,8,Oppo,Rabat,,1,1105.54,0,1.0,Moyenne,65,90.13,1,0,256,4424.31
,4,Xiaomi Redmi,Rabat,1.0,0,870.99,1,0.0,Moyenne,46,41.35,0,0,256,6435.17
,9,iPhone,Casablanca,0.0,0,1053.27,4,1.0,Premium,29,67.44,0,0,512,10161.84
33.0,2,Xiaomi Redmi,Rabat,1.0,1,650.56,2,0.0,Moyenne,2,59.9,0,1,512,5340.2
37.0,2,iPhone,Casablanca,0.0,1,769.53,4,0.0,Supérieure,12,89.75,0,1,512,9357.07
60.0,2,Honor,Casablanca,0.0,0,1166.01,3,1.0,Entrée,89,90.5,1,0,256,3212.27
51.0,5,Samsung Galaxy,Agadir,0.0,0,1037.01,4,1.0,Supérieure,42,81.82,0,0,512,9651.88
56.0,1,Honor,Rabat,0.0,0,701.22,3,1.0,Entrée,38,92.66,1,0,1000,3773.64
56.0,5,Oppo,Agadir,0.0,0,1272.95,0,0.0,Moyenne,46,78.77,1,0,256,4434.93
63.0,4,Xiaomi Redmi,Agadir,1.0,1,791.12,1,0.0,Moyenne,41,82.8,1,1,1000,5617.55
39.0,9,Honor,Casablanca,1.0,0,912.71,3,1.0,Moyenne,40,76.03,1,0,128,4134.91
47.0,3,iPhone,Agadir,1.0,1,1159.69,2,0.0,Premium,60,65.71,1,0,128,11004.7
60.0,8,iPhone,Marrakech,0.0,0,1266.51,2,0.0,Premium,68,79.68,0,0,256,10421.05
53.0,3,iPhone,Casablanca,0.0,0,787.93,3,0.0,Supérieure,69,80.77,0,1,256,9068.68
50.0,5,Oppo,Rabat,0.0,0,1135.7,1,1.0,Entrée,22,67.54,0,1,128,3103.76
59.0,9,iPhone,Rabat,0.0,1,852.91,2,0.0,Premium,47,78.09,0,0,256,10229.18
48.0,9,Honor,Marrakech,0.0,1,1150.58,4,0.0,Entrée,5,89.03,1,0,256,3520.58
52.0,8,Samsung Galaxy,Agadir,0.0,0,858.79,3,0.0,Supérieure,18,69.28,1,1,512,9273.98
42.0,8,Oppo,Marrakech,1.0,0,886.21,0,1.0,Moyenne,86,70.99,1,0,256,4091.08
39.0,4,Xiaomi Redmi,Rabat,0.0,0,974.65,3,1.0,Moyenne,41,63.91,1,1,1000,5626.5
50.0,1,iPhone,Marrakech,1.0,0,1347.16,1,1.0,Premium,64,83.15,0,1,128,11616.85
41.0,4,Samsung Galaxy,Marrakech,1.0,1,653.15,2,0.0,Supérieure,20,100.55,0,0,1000,8054.44
35.0,1,Samsung Galaxy,Marrakech,1.0,1,1280.43,3,0.0,Supérieure,28,90.69,0,1,1000,7934.32
63.0,1,Samsung Galaxy,Rabat,1.0,0,896.41,4,0.0,Supérieure,54,79.34,0,1,1000,7932.05
65.0,6,iPhone,Agadir,1.0,0,773.1,2,0.0,Premium,69,73.85,0,1,128,10197.13
53.0,4,Samsung Galaxy,Marrakech,0.0,1,712.18,4,0.0,Supérieure,83,87.62,0,0,256,9007.16
45.0,2,Oppo,Casablanca,0.0,1,1001.83,2,0.0,Moyenne,66,72.19,0,1,256,4895.25
72.0,6,Oppo,Agadir,1.0,0,772.13,4,0.0,Entrée,31,71.83,1,0,512,2658.42
52.0,6,iPhone,Marrakech,1.0,0,775.93,3,1.0,Premium,60,79.46,1,0,256,10326.59
62.0,6,Xiaomi Redmi,Agadir,1.0,0,680.15,1,1.0,Moyenne,71,72.37,1,0,128,4940.32
65.0,1,Oppo,Casablanca,0.0,1,1068.52,3,0.0,Moyenne,71,86.04,1,0,512,4237.18
59.0,8,Xiaomi Redmi,Marrakech,0.0,1,975.26,4,0.0,Moyenne,17,78.73,0,1,512,5407.28
59.0,1,Samsung Galaxy,Agadir,1.0,1,1037.81,4,0.0,Supérieure,55,48.65,0,0,1000,8866.81
50.0,6,Honor,Casablanca,1.0,1,1050.43,4,1.0,Entrée,9,60.53,1,0,512,3855.09
43.0,8,Oppo,Agadir,1.0,0,1190.73,4,0.0,Entrée,4,57.96,0,1,1000,2967.79
64.0,5,Xiaomi Redmi,Agadir,0.0,1,1131.39,0,1.0,Moyenne,43,69.27,1,0,128,4846.06
58.0,6,Oppo,Agadir,1.0,0,795.8,3,0.0,Entrée,87,96.4,1,0,512,3743.4
52.0,4,Samsung Galaxy,Rabat,1.0,1,856.89,4,0.0,Supérieure,58,84.34,0,1,128,9990.7
42.0,9,iPhone,Agadir,0.0,0,892.38,0,0.0,Premium,43,84.26,0,1,256,11464.61
39.0,7,Samsung Galaxy,Agadir,0.0,0,752.65,4,0.0,Supérieure,54,58.42,0,0,512,8071.26
62.0,7,Xiaomi Redmi,Agadir,0.0,0,749.46,2,0.0,Moyenne,41,79.88,0,0,512,5836.73
61.0,2,Xiaomi Redmi,Casablanca,0.0,1,1032.72,4,1.0,Moyenne,25,40.82,1,1,512,5006.51
36.0,1,Samsung Galaxy,Rabat,0.0,0,1094.78,3,0.0,Supérieure,15,60.79,0,1,512,9086.41
37.0,2,Honor,Agadir,0.0,0,1009.45,2,0.0,Entrée,68,79.63,0,0,512,2960.46
69.0,7,iPhone,Rabat,0.0,0,1065.43,1,1.0,Premium,2,83.72,0,1,1000,10159.89
50.0,5,Oppo,Rabat,0.0,1,1286.47,2,0.0,Entrée,84,76.95,1,1,256,3537.33
55.0,7,iPhone,Agadir,0.0,0,1028.24,3,1.0,Premium,35,81.18,1,0,512,11908.0
65.0,7,Samsung Galaxy,Agadir,1.0,1,1270.63,2,1.0,Supérieure,92,81.19,1,0,1000,7297.94
49.0,7,Oppo,Casablanca,1.0,0,1100.04,1,0.0,Entrée,9,87.92,0,0,256,2585.29
57.0,6,Oppo,Agadir,1.0,0,1252.71,1,1.0,Entrée,93,76.68,0,1,512,3656.97
69.0,8,Samsung Galaxy,Marrakech,0.0,1,1252.47,0,0.0,Supérieure,83,72.18,1,0,128,7709.1
61.0,5,Samsung Galaxy,Rabat,0.0,0,812.79,3,0.0,Supérieure,19,90.09,0,1,512,9241.03
34.0,9,Samsung Galaxy,Casablanca,0.0,0,1440.87,1,1.0,Supérieure,43,70.45,1,1,256,9357.67
48.0,7,Xiaomi Redmi,Casablanca,1.0,0,719.34,3,1.0,Moyenne,90,80.37,0,0,128,5610.33
38.0,8,iPhone,Marrakech,1.0,0,756.2,2,0.0,Premium,95,69.59,0,1,128,11830.81
59.0,9,Oppo,Casablanca,0.0,1,684.3,1,0.0,Entrée,68,72.74,0,0,512,3449.31
53.0,4,Oppo,Marrakech,1.0,0,863.95,3,1.0,Moyenne,74,64.98,1,0,128,4632.51
39.0,5,Honor,Rabat,0.0,0,803.41,3,0.0,Entrée,40,78.3,1,1,128,3629.13
55.0,9,Xiaomi Redmi,Marrakech,0.0,0,1034.53,0,0.0,Moyenne,41,85.63,1,1,256,6205.21
46.0,9,iPhone,Casablanca,1.0,0,947.08,2,0.0,Premium,14,58.04,0,0,256,11567.63
56.0,2,Samsung Galaxy,Casablanca,1.0,0,910.68,2,1.0,Supérieure,48,87.43,1,1,1000,8141.27
49.0,5,Oppo,Agadir,,1,814.08,3,0.0,Moyenne,90,85.15,1,0,256,4254.6
60.0,3,Oppo,Marrakech,1.0,1,808.45,0,0.0,Entrée,98,56.97,0,0,1000,2570.43
50.0,1,Samsung Galaxy,Marrakech,0.0,1,888.27,0,1.0,Supérieure,62,59.41,0,0,512,9506.59
46.0,4,Xiaomi Redmi,Rabat,0.0,1,959.55,4,1.0,Moyenne,12,70.79,0,0,1000,5269.17
52.0,7,Oppo,Marrakech,1.0,1,737.27,1,1.0,Entrée,65,51.01,1,1,512,3826.35
57.0,2,iPhone,Agadir,0.0,1,1008.75,4,0.0,Premium,5,85.61,0,1,1000,11590.74
50.0,8,Samsung Galaxy,Agadir,1.0,0,910.08,4,1.0,Supérieure,11,87.38,0,0,128,8230.93
69.0,9,Honor,Marrakech,1.0,0,862.8,4,0.0,Entrée,82,92.94,1,0,128,3838.82
39.0,5,iPhone,Marrakech,1.0,0,1175.71,2,1.0,Premium,2,69.6,1,1,1000,11686.5
53.0,9,Xiaomi Redmi,Marrakech,0.0,1,1182.85,1,0.0,Moyenne,69,82.6,1,0,256,4808.76
39.0,6,Honor,Agadir,1.0,0,1066.14,4,0.0,Moyenne,61,80.7,0,1,1000,4535.03
48.0,8,Oppo,Rabat,0.0,0,1031.95,3,0.0,Entrée,39,93.13,0,1,128,3101.85
65.0,3,iPhone,Marrakech,1.0,1,997.93,1,0.0,Premium,79,103.49,1,1,1000,10273.35
46.0,9,Samsung Galaxy,Rabat,0.0,1,832.28,4,0.0,Supérieure,5,62.82,1,1,1000,9012.5
,8,Oppo,Casablanca,0.0,0,961.61,2,1.0,Entrée,57,54.23,1,0,1000,3923.53
58.0,9,Honor,Agadir,1.0,1,997.6,4,1.0,Entrée,65,73.41,0,1,128,3949.01
61.0,1,Oppo,Agadir,1.0,1,1039.95,4,0.0,Entrée,89,76.41,1,0,1000,2996.33
47.0,2,iPhone,Agadir,0.0,0,1040.28,4,0.0,Premium,50,79.65,1,1,1000,11113.42
54.0,4,Oppo,Casablanca,0.0,1,663.41,1,0.0,Entrée,99,71.85,0,0,512,2727.37
69.0,3,iPhone,Marrakech,0.0,0,932.6,0,1.0,Premium,10,84.93,1,1,128,11875.6
37.0,9,Oppo,Marrakech,0.0,1,749.11,2,0.0,Moyenne,53,61.45,1,0,256,4206.08
50.0,9,iPhone,Casablanca,0.0,1,1114.46,4,0.0,Premium,35,85.07,1,0,1000,11682.52
43.0,8,Honor,Casablanca,0.0,1,881.61,1,1.0,Entrée,23,95.17,1,0,512,3150.25
42.0,9,Oppo,Casablanca,1.0,1,641.07,0,0.0,Moyenne,72,90.19,0,0,256,4179.85
53.0,9,Oppo,Casablanca,1.0,1,1046.03,1,1.0,Moyenne,74,61.28,0,1,1000,4236.69
65.0,5,iPhone,Marrakech,0.0,0,1136.03,2,1.0,Premium,79,71.01,0,1,1000,11257.22
62.0,1,iPhone,Agadir,1.0,1,1036.65,2,0.0,Supérieure,55,61.1,0,0,512,9748.81
41.0,8,Oppo,Casablanca,0.0,0,916.13,3,0.0,Moyenne,64,68.18,1,0,1000,4868.87
42.0,8,Xiaomi Redmi,Agadir,1.0,0,845.51,4,0.0,Moyenne,20,63.56,0,0,512,5109.19
68.0,5,Xiaomi Redmi,Casablanca,1.0,1,978.92,1,1.0,Moyenne,57,60.8,0,0,1000,6684.28
46.0,3,Samsung Galaxy,Rabat,0.0,0,713.3,4,1.0,Supérieure,72,87.88,1,1,512,7806.65
56.0,5,Oppo,Marrakech,0.0,1,812.77,0,1.0,Entrée,32,57.26,0,0,128,3328.22
42.0,4,iPhone,Casablanca,0.0,1,958.06,1,1.0,Supérieure,70,104.41,1,0,1000,9230.06
60.0,5,Oppo,Agadir,0.0,0,1053.65,3,0.0,Entrée,39,87.9,1,0,512,3025.38
50.0,1,Samsung Galaxy,Casablanca,0.0,0,784.53,1,1.0,Supérieure,44,69.77,1,1,1000,9692.71
82.0,5,iPhone,Marrakech,0.0,0,681.72,1,0.0,Premium,47,63.75,1,0,512,11822.87
43.0,9,Samsung Galaxy,Casablanca,0.0,1,810.63,0,0.0,Supérieure,9,70.61,1,1,128,8025.02
50.0,7,Samsung Galaxy,Casablanca,0.0,0,850.46,2,0.0,Supérieure,45,80.67,0,0,256,9667.94
26.0,5,Samsung Galaxy,Rabat,1.0,0,1151.98,4,0.0,Supérieure,49,80.08,1,1,1000,9048.49
69.0,5,iPhone,Marrakech,0.0,1,1085.49,2,1.0,Supérieure,52,80.27,1,1,1000,9026.52
42.0,3,iPhone,Rabat,1.0,0,1285.41,4,1.0,Premium,86,86.7,0,1,128,10756.18
60.0,4,Oppo,Agadir,1.0,1,1103.45,3,1.0,Entrée,98,92.54,0,0,1000,2753.02
53.0,4,Samsung Galaxy,Agadir,0.0,1,1007.87,3,0.0,Supérieure,23,49.75,0,1,128,7057.53
65.0,6,Samsung Galaxy,Agadir,0.0,0,1199.92,3,0.0,Supérieure,19,69.43,0,0,1000,8552.18
62.0,9,Xiaomi Redmi,Casablanca,1.0,1,1061.03,1,1.0,Moyenne,21,72.61,0,0,512,6124.1
47.0,7,Honor,Casablanca,1.0,0,810.56,3,0.0,Entrée,57,90.15,0,1,512,3461.43
40.0,3,iPhone,Casablanca,1.0,1,1028.07,1,1.0,Premium,7,63.0,0,1,256,11224.82
32.0,4,Oppo,Casablanca,0.0,1,684.65,3,1.0,Entrée,42,89.12,0,1,1000,2657.43
47.0,2,Samsung Galaxy,Agadir,1.0,1,1048.22,3,1.0,Supérieure,41,57.15,0,0,1000,8536.96
45.0,6,Oppo,Rabat,0.0,0,883.7,0,0.0,Moyenne,22,92.73,1,0,256,4845.29
46.0,5,Xiaomi Redmi,Agadir,0.0,0,1153.83,1,1.0,Moyenne,9,82.88,1,0,512,6581.14
48.0,7,Samsung Galaxy,Rabat,0.0,1,1110.55,0,1.0,Supérieure,78,78.56,1,0,128,9998.56
53.0,6,Xiaomi Redmi,Marrakech,1.0,0,923.36,4,1.0,Moyenne,59,66.48,0,1,512,6619.06
46.0,3,Xiaomi Redmi,Marrakech,1.0,0,921.13,2,0.0,Moyenne,93,64.41,0,1,1000,5273.7
66.0,5,iPhone,Casablanca,0.0,1,1186.36,3,0.0,Premium,78,78.53,1,0,128,11420.27
65.0,9,Honor,Casablanca,1.0,1,1176.26,3,0.0,Entrée,31,53.43,0,1,128,3025.62
59.0,2,Xiaomi Redmi,Casablanca,1.0,0,874.83,2,0.0,Moyenne,22,49.65,0,0,256,6444.72
61.0,4,iPhone,Marrakech,1.0,0,1013.25,4,0.0,Premium,17,73.25,0,1,256,11219.94
59.0,2,Xiaomi Redmi,Marrakech,0.0,0,1239.44,4,1.0,Moyenne,12,37.73,1,1,1000,5721.37
56.0,4,Oppo,Marrakech,0.0,0,1001.12,4,1.0,Entrée,35,88.45,0,0,1000,2619.78
51.0,8,Honor,Marrakech,1.0,0,786.47,3,0.0,Entrée,1,59.49,0,1,1000,3369.17
58.0,2,Xiaomi Redmi,Agadir,1.0,1,938.96,2,1.0,Moyenne,72,62.65,0,0,256,5711.84
45.0,7,Xiaomi Redmi,Marrakech,1.0,0,902.98,1,1.0,Moyenne,30,68.89,0,0,512,6740.89
57.0,1,iPhone,Agadir,0.0,0,961.26,3,1.0,Supérieure,25,77.45,1,1,256,9835.68
41.0,9,Xiaomi Redmi,Rabat,1.0,1,743.14,2,0.0,Moyenne,85,65.12,1,0,1000,5865.54
50.0,4,Honor,Rabat,1.0,0,1006.96,4,1.0,Entrée,51,62.87,1,1,128,2809.97
57.0,6,Xiaomi Redmi,Agadir,0.0,1,1160.58,0,1.0,Moyenne,63,76.36,0,1,128,5036.79
62.0,8,Oppo,Marrakech,1.0,0,892.78,3,1.0,Entrée,84,74.22,0,1,1000,3408.79
34.0,1,Samsung Galaxy,Marrakech,0.0,1,917.76,0,1.0,Supérieure,99,76.06,1,1,256,8580.59
46.0,7,Honor,Agadir,0.0,0,1160.37,3,0.0,Entrée,44,53.69,1,1,256,2820.44
59.0,3,Samsung Galaxy,Casablanca,1.0,1,1302.27,1,1.0,Supérieure,16,36.75,0,1,1000,7799.61
43.0,7,Honor,Rabat,1.0,1,813.08,2,0.0,Moyenne,26,88.61,1,1,512,4894.79
52.0,6,Oppo,Marrakech,1.0,0,1318.38,3,0.0,Moyenne,70,56.07,1,0,128,4946.45
56.0,4,Oppo,Casablanca,1.0,0,1286.32,3,0.0,Moyenne,44,60.6,1,1,512,4833.49
57.0,1,Samsung Galaxy,Agadir,1.0,1,781.56,1,0.0,Supérieure,93,86.98,1,0,1000,8036.36
60.0,5,Samsung Galaxy,Agadir,0.0,1,1093.41,1,0.0,Supérieure,22,64.41,1,0,256,8745.38
42.0,3,iPhone,Rabat,0.0,0,940.33,3,1.0,Supérieure,79,75.69,1,0,128,9159.95
52.0,5,Samsung Galaxy,Rabat,1.0,0,691.4,0,0.0,Supérieure,12,68.08,0,1,512,7963.59
41.0,2,Xiaomi Redmi,Rabat,0.0,0,980.63,2,0.0,Moyenne,48,84.67,0,1,128,6808.51
49.0,3,Oppo,Rabat,1.0,1,920.57,1,0.0,Moyenne,50,85.36,0,1,1000,4105.18
34.0,6,Samsung Galaxy,Marrakech,1.0,0,877.0,4,1.0,Supérieure,85,65.74,1,0,128,9065.07
32.0,7,Xiaomi Redmi,Rabat,0.0,0,1146.9,3,1.0,Moyenne,58,81.35,1,0,256,4944.75
54.0,2,iPhone,Rabat,1.0,0,1099.95,3,1.0,Premium,69,90.12,0,1,512,11427.8
58.0,1,iPhone,Agadir,1.0,1,741.55,1,1.0,Premium,5,91.44,1,1,128,10586.54
47.0,5,Xiaomi Redmi,Agadir,0.0,0,904.1,2,1.0,Moyenne,15,70.94,0,1,512,5501.15
59.0,2,iPhone,Marrakech,1.0,1,1089.0,3,0.0,Premium,93,84.74,0,1,1000,11914.87
39.0,5,Xiaomi Redmi,Casablanca,0.0,1,1292.83,3,1.0,Moyenne,35,70.49,1,1,1000,6562.8
47.0,6,iPhone,Rabat,0.0,0,1238.93,0,0.0,Premium,58,98.14,0,0,1000,10816.26
42.0,1,Oppo,Agadir,0.0,0,1279.25,4,0.0,Entrée,26,62.9,0,1,512,3072.66
32.0,4,Samsung Galaxy,Agadir,0.0,1,1231.68,1,1.0,Supérieure,27,97.78,1,1,512,9656.27
31.0,2,Honor,Agadir,0.0,1,1038.08,2,0.0,Entrée,89,77.43,1,0,128,3442.16
52.0,3,Honor,Rabat,0.0,1,731.39,4,0.0,Moyenne,51,46.71,0,0,128,4454.84
41.0,8,Samsung Galaxy,Rabat,1.0,1,1312.71,2,1.0,Supérieure,22,77.58,1,1,512,8801.67
53.0,2,Honor,Marrakech,0.0,0,1353.11,4,0.0,Moyenne,12,43.64,0,0,1000,4048.73
64.0,4,Xiaomi Redmi,Rabat,1.0,0,1075.82,4,0.0,Moyenne,74,96.37,1,1,512,4735.62
45.0,3,Xiaomi Redmi,Rabat,1.0,1,707.87,3,1.0,Moyenne,58,65.74,1,0,256,4959.13
58.0,3,Samsung Galaxy,Marrakech,0.0,0,1072.41,2,1.0,Supérieure,38,61.85,0,0,512,8361.4
55.0,8,Oppo,Marrakech,0.0,0,883.05,3,0.0,Moyenne,17,103.17,1,0,1000,4419.65
45.0,8,Samsung Galaxy,Casablanca,0.0,0,737.47,0,0.0,Supérieure,64,62.79,1,1,256,8482.64
68.0,6,Xiaomi Redmi,Casablanca,1.0,1,1060.72,1,1.0,Moyenne,75,63.13,0,0,1000,5107.47
46.0,6,iPhone,Casablanca,0.0,1,981.35,0,0.0,Premium,43,73.8,1,1,128,11252.71
51.0,2,Honor,Casablanca,1.0,0,840.87,0,,Entrée,91,83.63,1,1,1000,3632.23
